id,name,api_football_id,fd_name,rating_mu,rating_sigma
1294,Metalist 1925 Kharkiv,3628,,1528.3299016761828,7.610713163693867
1295,Epitsentr Dunayivtsi,14434,,1516.5142917895198,58.027088424225056
1297,Kudrivka,21953,,1387.5350874602198,67.7619729039891
1305,FK Crvena Zvezda,598,,1532.6153202806695,7.506103948736129
1306,Jedinstvo Ub,12319,,1446.6690706634151,6.146048246481735
1307,Mladost Lucani,699,,1465.1557050305,3.5133098174234094
1308,OFK Beograd,2633,,1473.1240891272319,4.1832065860614085
1309,Tekstilac Odžaci,17438,,1439.757600055214,5.7380466533171575
1310,Vojvodina,702,,1479.2165216210387,3.7146191985056793
1311,Novi Pazar,2643,,1476.1187395561876,3.4408925746474863
1312,FK Spartak Zdrepceva KRV,2251,,1462.7778129183482,3.5242296180395973
1313,Cukaricki,2656,,1471.7611532350786,3.5725613958151725
1314,Radnicki NIS,2254,,1467.5712381538249,3.5298294687394676
1315,TSC Backa Topola,2646,,1468.7699131339584,3.575706675145799
1316,IMT Novi Beograd,12316,,1468.4612406208566,3.8583222846723113
1317,Radnicki 1923,2644,,1471.7510965094561,3.578165059987798
1318,Železničar Pančevo,12360,,1476.408020674144,3.9579897371857964
1319,Napredak,2655,,1458.8982803248095,3.6459107694837267
1320,FK Partizan,573,,1481.764840468961,5.149146763653894
1322,Macva,2637,,1456.1011984624902,6.58221147182223
1323,FK Vozdovac,2658,,1456.5786602658284,4.93824235890717
1324,Javor,2653,,1466.7145211994105,3.8763850092805163
1325,Radnik Surdulica,2657,,1472.5416401695172,3.7677131015745093
1328,Grafičar,4252,,1448.6436010970692,6.76022351120906
1334,Oliveirense,233,,1503.6281029182483,3.3719166268489853
1336,Feirense,213,,1508.6985337837912,3.20273747202658
1337,FC Porto B,243,,1510.2639005703693,3.214526248799424
1339,Penafiel,235,,1504.9187024734765,3.2233373424267353
1340,Leixoes,244,,1505.5528631475677,3.2559875009627652
1343,Benfica B,229,,1512.2260347355766,3.1678840793627367
1344,Academico Viseu,238,,1515.1679775180125,3.16148070459833
1345,Nacional,225,Nacional,1529.2942912209678,3.430965483398663
1346,Tondela,218,Tondela,1524.350011667384,3.5894451437105195
1347,Torreense,4799,,1514.4918421784703,3.354781367003003
1352,Alverca,4724,,1533.2187089459005,5.528140059110085
1379,Felgueiras 1932,4744,,1505.6988704593584,4.439958015184209
1380,Maritimo,214,Maritimo,1517.335866464858,3.3838118831649036
1382,Santa Clara,227,Santa Clara,1534.846627082833,3.27569707529463
1383,AVS,21595,,1524.1893315590642,4.129479897629062
1384,Lusitânia Lourosa,6358,,1495.288343279955,12.095389353381945
1385,Cherno More Varna,851,,1495.5155195535099,4.274871129594092
1386,CSKA 1948,1426,,1495.1085434425315,3.954998384775458
1387,Septemvri Sofia,856,,1476.2650382943066,4.824355647905891
1388,Beroe,857,,1479.5140051401995,4.123286255100947
1389,Lokomotiv Sofia,1416,,1489.2048131873157,4.09754991445424
1390,Levski Sofia,646,,1507.647428196536,4.614306738408032
1391,Botev Vratsa,859,,1487.2095067837608,4.267631634573932
1392,Botev Plovdiv,634,,1488.41516032081,3.9806537712598646
1393,Lokomotiv Plovdiv,858,,1489.3696458312306,4.116231084903888
1394,Arda Kardzhali,1430,,1490.8570258370055,3.9163218373471813
1396,Slavia Sofia,854,,1488.4724077100097,3.9393861713987453
1397,Ludogorets,566,,1516.597871612521,4.8462905887943535
1398,CSKA Sofia,853,,1499.0253738565748,4.278204931497576
1399,Hebar 1918,4659,,1450.9288893797996,6.883313435791069
1400,Spartak Varna,4660,,1478.3284836085425,4.71322980111398
1406,Montana,1424,,1462.691034934808,8.026964218310908
1408,Radnik Bijeljina,3359,,1514.3258205279362,4.4202490687056475
1409,FK Sarajevo,679,,1526.8658753573932,3.8535580861032965
1411,Posušje,14146,,1516.4217323184916,3.990299221257399
1413,Zeljeznicar Sarajevo,654,,1517.3453993316377,3.7786765138582603
1414,Siroki Brijeg,642,,1519.0879713639365,3.9164750901134457
1415,Velež,3381,,1519.9607085309988,3.8680346457315578
